shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
6f5928b5-bad3-4014-98d6-006ba88865ae,5,4,4,0.2,0.0,,0.0,1.0,0.0,0.0,0.0
1fcd33a5-438c-48ea-9403-94882983b76d,6,6,6,0.2,0.36111111111111116,,0.9999999999999999,1.0,0.0,0.0,0.0
9565503f-ea3e-4924-94d6-4921a4135e28,7,7,8,0.16666666666666666,0.0,,1.0000000000000002,2.0,0.0,0.0,0.0
eabde875-fb9a-4f5e-8c5e-887f3a596247,8,10,11,0.17857142857142858,0.0,,1.2720196495140692,1.0,1.0,0.09523809523809523,0.0
70c88f35-d9b6-45a9-84b5-983ec4edb695,4,4,4,0.3333333333333333,0.0,,1.0,1.0,0.0,0.0,0.0
326beb2b-4f8c-4cab-b607-7a96334c31a9,9,10,10,0.1388888888888889,0.0,,1.0000000000000002,2.0,1.0,0.3214285714285714,0.0
8934c30c-872b-4f0e-bd44-6b0a16933c9f,7,6,6,0.14285714285714285,0.0,,0.0,1.0,0.0,0.0,0.0
d7cb80a9-1cf1-43d3-b140-a31ac0ff4389,8,14,25,0.25,0.13594895098775425,,5.2333949556730825,1.0,0.0,0.0,0.0
d79d031b-54ec-4e6e-bd2a-83dbd6dd838b,5,3,3,0.15,0.0,,0.0,1.0,0.0,0.0,0.0
7598f02d-2a2b-4a56-b649-2f4d142616ab,9,12,13,0.16666666666666666,0.0699956138830485,,2.1700864866260323,1.0,0.0,0.0,0.0
2c1d7ae5-7b3c-49c8-9b24-086c1d623a20,4,4,5,0.3333333333333333,0.0,,1.4142135623730951,1.0,0.0,0.0,0.0
dad539ba-e148-461c-984c-c2c06a3c07ab,5,5,5,0.25,0.0,,1.0,1.0,0.0,0.0,0.0
b928aa67-463b-43f9-8075-c75fb8cc2be9,6,15,23,0.5,0.4572352771419801,1.1916666666666667,4.726388723210494,5.0,4.0,0.30000000000000004,0.40283595601056804
10f729fd-dcd5-4aa5-858a-79b9332ae499,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
56656dde-9b48-409f-bf1d-c7ca17d1e4fe,2,1,1,0.5,0.0,,0.0,,,,
ad5e6c9f-e35e-4405-8ef1-9b749cf1d9a1,0,0,0,,,,,,,,
1bcb16a6-d77b-4121-bdb7-98169432365c,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
e3095912-e405-4239-9c9d-dd3e26379003,9,12,12,0.16666666666666666,0.37407407407407406,,1.433752399634409,1.0,0.0,0.0,0.0
